发文时间,标题,发文位置,阅读量,在看数,点赞数,转发数,留言数,链接,封面,类别,图片/视频引用（次）,字数,数据引用（次）,描述疾病原理（是/否）,本地相关性,主要医护职称,故事/案例引用（个）
2025-03-28 18:32:09,名医名科丨34岁男子左臂被缆绳卷入险些离断，舟山医院骨科联合多学科上演“保臂奇迹”,1,7460,14,36,59,5,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649576165&idx=1&sn=cdccef00dc0387fc4d869dffccfb2f62&chksm=89e4130e99fe829bd855fc1fab1e84d11dc1d2544d5f2003305765e75a15d9e4fc388c5c9bc8&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhSibNlIEaNhS9nibDsGBau31pnwMicfBYrW1X1Ja2aGTqDbvwh0l0Usbw2fsTQMZtibrLwhYtaicrpDS78w/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-03-14 18:32:47,舟山医院"小而强"团队精准狙击肺癌 早诊率达全国领先水平吸引沪杭患者,1,5388,8,58,78,2,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649576017&idx=1&sn=e77fe3ebc78cb61acee5026c139351c6&chksm=894a4117590deaa942b1ab7da609a324528bd97e9b68782d6febed7893726b3a83b0d71bada8&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhSicDVoNUkrZiciaAOOpFsuEBbdrb4usXuicaGGE29h0xU5teibmKFY93xK2WTTB3MHIGaKX62GJCInISPA/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-03-07 19:28:18,查出微小肿瘤，舟山医院“查癌神探”显神威！全市首台五维全息PET-CT精准“勘查”，助患者早发现早治疗,1,10177,12,71,203,,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649575912&idx=1&sn=f5cc77f7719bcab0a6298ba0023ae652&chksm=89aec868cc5f18302fb4ed2b811925109c94a8bf7762544c482a57b97d7f48af6aa7c168f55c&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSicd4445iaGIhJic9gnKkIZRib0LdsMz1ibvIicVF4ly7hkuCfYp0FVIEbAEJm9ravibEIOhLOn1CQT3sFrQ/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-02-21 18:38:05,一场感冒差点要了命！ECMO技术如何让舟山七旬老人起死回生？,1,8764,12,29,64,1,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649575681&idx=1&sn=84ed579ae876f67304b2490a7f50508d&chksm=891a5a2a078b47b484f6334689d0fa418fe1032e8720d1a931a8fc72e16161f0e3579cfd0bc8&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSic0ZlwopECkcPkwxcrB1HhfpCv2a8CicPwO79Mp5aicFXmmkiabMtGL5wwTk6IQaiawzJ5OSyvf4gkAfw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-02-14 18:31:40,体检发现肺结节怎么办？舟医专家解读助您科学分辨,1,11336,22,44,213,4,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649575438&idx=1&sn=b1459b01db990603a2a28ff588d320b0&chksm=89ff3c3bd8ac03e44a9a07117c890433504077c2d90dcbf74e0b6c76d1dee026809105c4a093&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS9kCWIjeM5msM3Ww1eZqqUUaSqQu1ic3LA7zWcsib6q0pHf1Iqwfrs5Ru6ZibRfSt2Js59hStUWCT5PA/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-01-10 18:31:41,只是摔了一跤？舟山医院精准预判隐形“杀手”，多学科联合成功抢救61岁大妈,1,9599,12,26,61,2,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649574616&idx=1&sn=2d4c4f2fe5e5c8cb43ed082cd8eeedf8&chksm=89965a80e00b390fb3e73a68b7351738b6a3c773e29f5ae1a7bbdfebcfe05064c473c94d5c52&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS9VKs8RajH1MWniblrwKBL9AOTlEJSCNuBuWOoiccvhnvda4eQYrWpOZgVHq9cSkgmyj6tCtVsfPOiaA/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-01-03 18:32:31,黑便、全身黄疸、消化道出血，竟然是肝衰竭！舟山医院人工肝成功“换血”挽救生命,1,7850,4,23,26,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649574373&idx=1&sn=6b330efe6a2cdb0c026a126c07ae32b9&chksm=8906cc60511597611670128e7110a062a99a8eeeaa241c7f3333b12a86cffea2851e98ccd88f&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS8jVYzdH7YIrTygNpupeicuFCnOL2Q1S2dPgic5ziaq4ZFuLiaricUOWibrMfGFicosgZGSId9IMPkrDR3dw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-12-30 19:14:35,硬“核”！舟山医院引进首台五维全息PET-CT，助力海岛患者精准诊断,1,11190,16,34,399,1,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649574249&idx=1&sn=94e7a2bd3d28e7297872d5b46d00f0bf&chksm=891dd038aa367a276b5adb9e9b3f0f417c5d70a50208ecefc74155db48a1a174e19112bf5e8c&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS9S9PicUlXFrauja4D15HKayfvK2fOiaKs7T4U5lyIBuSCkckQht6n79H6vTkFWSuFPD5ubX4pgTj8Q/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-11-22 18:30:56,中年男子腹痛21个小时，竟是“肠中风”！专家提醒：有房颤病史的患者要格外当心,1,7497,10,22,60,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649573646&idx=1&sn=6b1849caeba1df6ec632cbe3dba16886&chksm=89762d8cbf8178fa2559182a29b109a6f85980efe0af4c6e678871fac29e5390aae53554aad7&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS9bzYtYhQNQUqgzLuhic959BQR4JibJMq5XIaK6NiafWMZPfZXxUHcKdHJZqKJpoicPicGoRy2XukOA5bA/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-11-15 18:31:42,“刀过无痕”，妇科微创手术让美丽与健康并存,1,5333,1,16,47,,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649573566&idx=1&sn=08584652620c53252ea00b15f1dbc6e9&chksm=89d90469367d6066d9dda6b1bc5b84485ae29a5690c015d0e9d410b3f8c14a619b828fa76c4a&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSibwiaEenbBZBgs0JzvrrL8OEsDKZ4xyqq9Ga5veqicicGOYfqLbczic5daxnMFqI1Eyvw0zicCXia0MjcGw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-09-20 19:37:04,28岁云南小伙看烫伤却发现主动脉血管已增粗到6公分！医生告诫：主动脉夹层及巨大夹层动脉瘤速医,1,10944,8,22,50,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649572647&idx=1&sn=13c704c2d7106e3ab3a5c1959e7b58e3&chksm=89405af3364b77ca8c88580b9dba18241fa77ab018da58b40b25dac611a8b272fc3b7ed4f7e6&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS84g7qTdCeiaSiaOOqF9AvJEyXsR4BiaJxD4Uo93c8ssicyGS7pJWZnNJzFQj69PxChDMyTLMv5542Syg/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-08-09 18:32:25,名医名科丨生死一线 舟山医院胃肠外科实施急诊胰十二指肠切除+肝破裂修补术成功挽救,1,7187,10,35,32,2,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649571963&idx=1&sn=0199df3e0298644f0b1f56410f15e064&chksm=89d95617316dd8dcb51d12e1f3fdc07f112e8ae58a2244df9676ec82d4651b3f645f0b7dafff&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS9BcpibqQ0CIaoLiaA4MSdr3Z9NvPT2sfibHfYEtP5Xr2ibLVJlp9UuktPujjpNhbfqjiaE5cFuqmIdibOg/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-08-02 18:58:21,名医名科丨创新治疗！舟山医院肛肠外科成功帮助肛门括约肌损伤患者恢复肛门功能,1,4541,4,8,61,,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649571743&idx=1&sn=6471ec9b70cd54b0caaabd7a3e2a1aa2&chksm=894872c9aafaf3f97d4e2eb29f9b97ef79f7f8396298d6a7c1f9ecdbef1bbf7a784e7172d128&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSibNmlBrgeyBXvLCcdmcg5hWeXR1Vicq4szvicB7oyXibvzDx8gKxxmYFooSzNn34V1yuyrJiaT6mUpUPQ/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-07-26 18:31:40,一日之计在于晨？不，十二时辰皆养生！,1,4142,14,22,172,,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649571595&idx=1&sn=63b6781c1fd1fd2de543226f03ed3e2e&chksm=89e9d726d57def08bef52d5a15f9e480ea654f1fc9ca9ed2e45753de598364d8365b0e1ebdb3&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS8Q9oKuXtibzib3j4OvDicGqUE1gViaePllo8Lct9nyLQGnWgUUuv1ibWGMbW1MlpnHXT366MLqljjzd9A/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-07-05 18:31:08,警惕！夏季“高温刺客”——热射病,1,5900,10,19,192,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649571070&idx=1&sn=00fce75887c466f970f9bbe612089823&chksm=89800a2d1575271044aeea263f69704e371ce2b5d4651fed39c203c08c4513b3500339a55dd6&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS9bYSCBic9Dz5jjBJMqJnsPjaibQKnZsOOggk3GPAHWCd95zRnvN4uFqFhACibJ6Xouj8d9uRWmqIicgA/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-06-21 18:31:53,岛城一6旬老人咳嗽数月竟是肺癌！舟山医院胸心外科专家：这类肺癌一定要警惕,1,14896,17,37,114,,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649570783&idx=1&sn=920fa32ec58f94972ad9f8c5b9b34042&chksm=89f918338e7ebb9f66f817804ea38d6ec85a79df9e4f29c335dbd56fcc7e9582b456e90d11ea&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS9yH8dMYJokYa6YmDn1n3vXoTsrc8ndO0otBJafib1J6iaTMST726pdUL0AOO6piblibl5xicoYPFXnTPA/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-06-07 18:30:47,8旬老妪在偏远海岛突发心梗！舟山医院上下联动紧急实行“绕行急诊”成功救治,1,7125,10,42,62,4,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649570564&idx=1&sn=afb33c845fb3d78eaa0693e06e72c403&chksm=895577d5f0d6ff5f7258fbf45cbd8357e3ce4dedb6f0e31468f661883b45a5454e558d0a2735&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS9pra4IpFYADGPZvf3D6F8PHWd3t2CVHrC4TGuc1fWavEldxG1eLBPLphaweVOqkbY9oepyOStCAg/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-05-24 19:08:01,“击碎心脏“拦路石”！舟山医院成功开展冠脉内旋磨术 为冠脉严重钙化患者解决“心头”难题,1,3500,9,18,52,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649570256&idx=1&sn=5d28d3fd9f8cb18bdae748bf5df9a26f&chksm=8960efd71be847a62b84bae2a45cd1ac3944a9977d41b12c2748bc83acd6864e5dd0957841b7&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSic6eicEKfVuPgicRktk3TfL9QvUNhgqgvVKHBXMBccbUSiaN8uROV8smzluoHHIYYMCO2ic5iaZAWMEoQw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-04-12 18:32:21,腰椎盘突出20余年 手术机器人出手辅助完成手术！舟山医院骨科开启机器人手术时代 实现“快、准、稳”,1,6240,7,19,161,6,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649569458&idx=1&sn=900b3ff2c2be280b2dcce6b806fbd714&chksm=895cebb65a30c1248264da5d8a0c978b0b16570f8c807f5f2a5d4b96d7cd33d31dc295b33304&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS9zLiaPc9dR66lo2rAiaiaDPJwkVCEsB5olDJGSozLQxWLyfk4OibGcD2R885vuhpzGsCJXgI4lwaQgZg/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-03-15 18:27:22,脑梗心梗同台手术，舟山医院双管齐下心脑同治成功救回,1,6266,5,42,54,,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649568855&idx=1&sn=510b3eb6254f6ac43c7014a053cedfbc&chksm=89bd1f38e2c75823094f10469025248dfff56b5ff3a4b0b812969fdcb79e96fc3d1e00c84c18&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSic3MEtWtePwEfUYdtKwzYEgoOfuI0qiaqPRLMEuAc6ic7Gg3icukAAkp1XZA5qxkj2Mq1XxEHVA3icuCA/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-01-26 18:30:31,多学科融合 突破技术壁垒丨术中零出血，舟山医院又一项技术达到国内领先水平,1,4639,3,16,85,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649567835&idx=1&sn=edb4a9d5f936ef6e4979ecb51ee47b3a&chksm=89964884ad552aaf6f86be2705221819c95bc84c985e541a4f5ba76f6cdea4332521a917e9cc&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSibkZKrnka0vQD7EP50nibCLIQKZX2DLwVicAQcibuoIib2LMiac9wwJHicf6kTDcD1CJU2CwBfjd1xW9JVQ/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2024-01-05 18:32:14,灼热般疼痛，70多岁大伯直掉眼泪！浙大二院疼痛科专家携手舟山医院疼痛科团队助患者消除病痛,1,7081,8,20,84,3,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649567299&idx=1&sn=d77451201adfb678a66c56f76b8ed161&chksm=8995513e65b500b2bfada683be957f81c2f70c864ed6a55f103f819b9583872f1d63229cde93&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSib7Xic8mdj7ibg4vqqE0z7HHR7u49ibwHgNon3CAl6tHm6XsLIiaaXnjDjke5DbZxBxQpNHaPiaDo1icWKw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2023-12-22 18:05:10,降低创伤，加速康复！舟医肝胆外科腹腔镜下保留十二指肠胰头切除术，保住消化道完整性,1,4076,6,24,108,5,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649566995&idx=1&sn=a3f865a9e227db5419f056fd705d4993&chksm=8993860bb9e82d0bd723e7b074f76ff8cdd8eb8cac3fea4146591d5339a5d5909e15baae32ca&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSic6Gu2dD8CWeoP4quaF9EQB1KHcYeTPcjD1A2Se0twO7IyIHMqDc5zIXMdDxXwbgAN7wv5x87pZyg/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2023-11-10 18:04:36,40多岁女子肚大如怀孕足月，盆腔内竟存在30cm巨大肿瘤，舟山医院妇科团队以高精尖技术成功切除,1,8904,8,40,63,7,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649566353&idx=1&sn=80a016fd63bb917c7031d28a361ce2ff&chksm=8999096052f34f23d03d97d228cd7632e518cff0feecdf655f0087f9cbce9e8e06f294958915&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSibkfGiaSBUodV6IMEfulvx7eGe61cejUcAicJY8VcicQ8JVG8lmfOqRficIpicmW3wF6duKweMaYWOD7fw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2023-11-03 17:49:45,成功“急”救坠楼者！这些操作令浙大二院急诊科专家直呼“了不起”,1,8983,7,44,70,11,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649566189&idx=1&sn=96d60cc44067ce7b36fc91c818cbdbf8&chksm=89e94ea449de20588ba21df2b5b39dbc977a9f924fb7f39a560e1bf64ca71a30babb29cccefe&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhSiciaJJv9D1yiaD26WWJCqNHGhtVURV3WzCHAGGr4T3OHC1CZ0G53Yq6N1UVAt5vnDPGcTQic0QsxdBZw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2023-09-06 21:23:24,这个妇科恶性肿瘤不只发生在中青年女性身上 高年龄段女性也要注意体检筛查,1,9136,8,10,1,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649564881&idx=1&sn=c07042218b77dc95dae2459244a0394b&chksm=89cbda5ed1507e1538d0a05924ca48810c0dd44cc675803b2bc0feb89686bfc97480c46c1a46&scene=126&sessionid=0#rd,https://mmbiz.qpic.cn/sz_mmbiz_jpg/yJrZiagSjhS8piaFOX8Xy2V7DhN6yicUQ7VZ0jzVeky5TU9PTokqlR3j23QukJs9GoQTWN69vuSvn0onH1ZhxvUCw/640?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
2025-08-01 17:26:47,餐桌上的“沉默杀手”！一人感染，全家中招？这种“隐形菌王”正悄悄啃噬你的胃,2,1222,2,11,33,0,http://mp.weixin.qq.com/s?__biz=MzA4OTExMjQ5OQ==&mid=2649578579&idx=2&sn=3cb6dd579197e5216b57ec67674500ba&chksm=89f4636f87024c8c29ec30c22c7d3566acd6a8b925e4fc365be98317ea1ab94121989e347a85&scene=126&sessionid=0#rd,https://mmecoa.qpic.cn/sz_mmecoa_jpg/yJrZiagSjhS8yhTj6zUvenI74icxMb31SXqJic8A4VYAoQWNibNnNKAgQcVUBDCFUF3XPwhWn4kq3thCb1NicMWADkQ/300?wxtype=jpeg&wxfrom=0,健康科普类,,,,,,,
